"HALL_ID";"THEATRE_ID";"HALL_NAME";"PLACES";"EXP_3D";"EXP_IMAX";"EXP_LASER";"EXP_DVD"
2620;1753;"01";574;"1";"0";"0";"0"
2621;1753;"02";183;"1";"0";"0";"0"
2622;1753;"03";181;"0";"0";"0";"0"
2650;1768;"01";48;"1";"0";"0";"0"
2651;1768;"02";133;"1";"0";"0";"0"
2652;1768;"03";136;"1";"0";"0";"0"
2653;1768;"04";136;"1";"0";"0";"0"
2654;1768;"05";136;"1";"0";"0";"0"
2655;1768;"06";136;"1";"0";"0";"0"
2656;1768;"07";220;"1";"0";"0";"0"
2657;1680;"08";220;"1";"0";"0";"0"
2658;1680;"09";220;"1";"0";"0";"0"
2693;1786;"1";159;"1";"0";"0";"0"
2694;1786;"2";159;"1";"0";"0";"0"
2695;1787;"1";130;"1";"0";"0";"0"
2696;1787;"2";130;"0";"0";"0";"0"
2697;1787;"3";130;"0";"0";"0";"0"
2698;1787;"4";122;"1";"0";"0";"0"
2699;1787;"5";80;"1";"0";"0";"0"
2700;1787;"6";81;"0";"0";"0";"0"
2701;1787;"7";150;"1";"0";"0";"0"
2702;1787;"8";97;"1";"0";"0";"0"
2703;1787;"9";97;"0";"0";"0";"0"
2704;1787;"10";232;"1";"0";"0";"0"
2710;1321;"3";128;"1";"0";"0";"0"
2711;1321;"4";142;"1";"0";"0";"0"
2712;1321;"5";132;"1";"0";"0";"0"
2713;1321;"6";104;"1";"0";"0";"0"
2714;1321;"7";154;"1";"0";"0";"0"
2715;1321;"VIP";32;"1";"0";"0";"0"
2749;1817;"01";206;"1";"0";"0";"0"
2750;1817;"02";99;"1";"0";"0";"0"
2751;1817;"03";125;"1";"0";"0";"0"
2752;1817;"04";227;"1";"0";"0";"0"
2762;1819;"02";288;"1";"0";"0";"0"
2763;1819;"03";192;"1";"0";"0";"0"
2764;1819;"04";288;"1";"0";"0";"0"
2765;1819;"05";288;"1";"0";"0";"0"
2766;1819;"06";126;"1";"0";"0";"0"
2771;1820;"01";213;"1";"0";"0";"0"
2772;1820;"02";156;"1";"0";"0";"0"
2773;1820;"03";232;"1";"0";"0";"0"
2774;1820;"04";175;"1";"0";"0";"0"
2775;1820;"05";258;"1";"1";"0";"0"
2811;1827;"Зал 1";147;"1";"0";"0";"0"
2812;1827;"Зал 2";147;"1";"0";"0";"0"
2813;1827;"Зал 3";147;"1";"0";"0";"0"
2988;1673;"10";48;"1";"0";"0";"0"
2989;1893;"01";303;"1";"1";"0";"0"
2990;1893;"02";103;"1";"0";"0";"0"
2991;1893;"03";103;"1";"0";"0";"0"
2992;1893;"04";54;"1";"0";"0";"0"
2993;1893;"05";111;"1";"0";"0";"0"
2994;1893;"06";103;"1";"0";"0";"0"
2995;1893;"07";111;"1";"0";"0";"0"
2996;1893;"08";211;"1";"0";"0";"0"
2997;1893;"09";211;"1";"0";"0";"0"
3007;1898;"01";487;"1";"1";"0";"0"
3008;1898;"02";44;"1";"0";"0";"0"
3009;1898;"03";54;"1";"0";"0";"0"
3010;1898;"04";141;"1";"0";"0";"0"
3011;1898;"05";141;"1";"0";"0";"0"
3012;1898;"06";286;"1";"0";"0";"0"
3013;1898;"07";300;"1";"0";"0";"0"
3014;1898;"08";189;"1";"0";"0";"0"
3015;1898;"09";189;"1";"0";"0";"0"
3016;1898;"10";189;"1";"0";"0";"0"
3042;1915;"01";89;"1";"0";"0";"0"
3043;1915;"02";240;"1";"0";"0";"0"
3044;1915;"03";237;"0";"0";"0";"0"
3045;1915;"04";237;"1";"0";"0";"0"
3046;1915;"05";237;"1";"0";"0";"0"
3047;1915;"06";241;"0";"0";"0";"0"
3048;1915;"07";156;"0";"0";"0";"0"
3049;1915;"08";296;"1";"1";"0";"0"
3050;1915;"09";300;"1";"0";"0";"0"
3051;1915;"10";87;"1";"0";"0";"0"
3058;1923;"01";282;"1";"0";"0";"0"
3059;1923;"02";284;"1";"0";"0";"0"
3060;1923;"03";173;"1";"0";"0";"0"
3061;1923;"04";283;"1";"0";"0";"0"
3062;1923;"05";506;"1";"1";"0";"0"
3063;1923;"06";288;"1";"0";"0";"0"
3064;1923;"07";244;"1";"0";"0";"0"
3065;1923;"08";173;"1";"0";"0";"0"
3066;1923;"09";194;"1";"0";"0";"0"
3067;1923;"10";244;"1";"0";"0";"0"
3068;1923;"11";288;"1";"0";"0";"0"
3069;1924;"01";286;"1";"0";"0";"0"
3070;1924;"02";166;"1";"0";"0";"0"
3071;1924;"03";164;"1";"0";"0";"0"
3072;1924;"04";299;"1";"0";"0";"0"
3073;1924;"05";326;"1";"0";"0";"0"
3074;1924;"06";376;"1";"0";"0";"0"
3075;1924;"07";376;"1";"1";"0";"0"
3076;1924;"08";326;"1";"0";"0";"0"
3077;1924;"09";299;"1";"0";"0";"0"
3078;1924;"10";155;"1";"0";"0";"0"
3079;1924;"11";155;"1";"0";"0";"0"
3080;1924;"12";287;"1";"0";"0";"0"
3081;1925;"01";324;"1";"0";"0";"0"
3082;1925;"02";221;"1";"0";"0";"0"
3083;1925;"03";538;"1";"0";"0";"0"
3084;1925;"04";261;"1";"0";"0";"0"
3085;1925;"05";261;"1";"0";"0";"0"
3086;1925;"06";181;"1";"0";"0";"0"
3087;1925;"07";261;"1";"0";"0";"0"
3088;1925;"08";385;"1";"0";"0";"0"
3089;1925;"09";185;"1";"0";"0";"0"
3090;1925;"10";219;"1";"0";"0";"0"
3091;1925;"11";219;"1";"0";"0";"0"
3092;1925;"12";187;"1";"0";"0";"0"
3093;1925;"13";319;"1";"1";"0";"0"
3094;1925;"14";116;"1";"0";"0";"0"
3095;1925;"15";93;"1";"0";"0";"0"
3096;1926;"01";271;"1";"0";"0";"0"
3097;1926;"02";248;"1";"0";"0";"0"
3098;1926;"03";249;"1";"0";"0";"0"
3099;1926;"04";273;"1";"0";"0";"0"
3100;1926;"05";167;"1";"0";"0";"0"
3101;1926;"06";167;"1";"0";"0";"0"
3102;1926;"07";167;"1";"0";"0";"0"
3103;1926;"08";167;"1";"0";"0";"0"
3104;1926;"09";262;"1";"0";"0";"0"
3105;1926;"10";438;"1";"0";"0";"0"
3106;1927;"01";446;"1";"0";"0";"0"
3107;1927;"02";405;"1";"1";"0";"0"
3108;1927;"03";213;"1";"0";"0";"0"
3109;1927;"04";247;"1";"0";"0";"0"
3110;1927;"05";247;"1";"0";"0";"0"
3111;1927;"06";215;"1";"0";"0";"0"
3112;1927;"07";247;"1";"0";"0";"0"
3113;1927;"08";171;"1";"0";"0";"0"
3114;1927;"09";171;"1";"0";"0";"0"
3115;1927;"10";215;"1";"0";"0";"0"
3116;1927;"11";231;"1";"0";"0";"0"
3117;1927;"12";231;"1";"0";"0";"0"
3118;1927;"13";76;"1";"0";"0";"0"
3119;1927;"14";91;"1";"0";"0";"0"
3120;1928;"01";307;"1";"0";"0";"0"
3121;1928;"02";217;"1";"0";"0";"0"
3122;1928;"03";219;"1";"0";"0";"0"
3123;1928;"04";219;"1";"0";"0";"0"
3124;1928;"05";219;"1";"0";"0";"0"
3125;1928;"06";217;"1";"0";"0";"0"
3126;1928;"07";217;"1";"0";"0";"0"
3127;1928;"08";217;"1";"0";"0";"0"
